Service Description,Service Classification
"Urban Mapping's Neighborhoods product is geo-spatial data about specific neighborhoods by zip code. Neighborhood data includes information on demographics, size, boundaries, and synonym recognition for neighborhood names. The Neighborhoods API allows developers to access information from Urban Mapping's Neighborhoods database. API methods include searching by spatial parameters, administrative boundaries, and neighborhood names.",Mapping
"YP, or Yellow Pages, is owned by AT&T's and provides listings, coupons and reviews about millions of businesses in the United States. The Yellow Pages API gives developers access to many of these features.Search business listings--search by keywords and location (a zip code, city, address or latitude/longitude).Retrieve details of a business--individual business data, including address, telephone numbers, as well as metadata like when the business started and its neighborhood. Also, if a business has an active deal, its coupons will also be listed.Business reviews--retrieve ratings and textual reviews of a business.Access coupons directly--find YP customers with deals.Static Maps--retrieve URLs for a map showing a specific point, or a business listing map showing a specific business. Also includes business details.",Mapping
"IP2Location Geolocation API is a web service to perform reverse lookup of an IP address to an ISO3166 country code, region or state, city, latitude and longitude, ZIP/Postal code, time zone, Internet Service Provider (ISP) or company name, domain name, net speed, area code, weather station code, weather station name, mobile country code (MCC), mobile network code (MNC) and carrier brand, elevation, and usage type. Developers use it for content personalization, ad targeting, traffic analysis, digital rights management, fraud prevention and more.",Mapping
"Factual provides a platform for developers to share, mash, and build applications on open data. Geopulse provides point-based access to geographic area attributes. The user provides a long/lat coordinate pair, or selects a point on a map, and factual provides business/demographic, and commercial information about the immediate geographic area. The search can return commercial density, commercial business profile, commercial/residential ratios, and population demographics like age, gender, race, education, median income, and other info. The services accepts REST calls and will return JSON. An API Key is required for service and the first 10,000 API calls each day are free.",Mapping
"The Static Map API allows you to customize and create your own map image through a simple HTTP request. Maps can be centered by requesting a center point, a bounding box, or allowing the service to best-fit all the features shown on the map. Custom icons are also accepted and can be decluttered for overlapping POIs.",Mapping
"Bing Maps Search Service allows users to parse a mapping related search queries as well as return search results. Search filters include property name and ID, minimum and maximum values, neighborhoods, ratings and more. The API uses SOAP protocol and responses are formatted in XML.",Mapping
"The TeleNav GeoCloud API provides a RESTful interface to the TeleNav Cloud for Location Based Services including geocoding, maps, routing, local search and TeleNav Client integration. Developers can integrate TeleNav GeoCloud using RESTful calls, SOAP, or JavaScript, and responses will be returned in XML or JSON accordingly.",Mapping
"ViewRanger is a UK-based company specializing in GPS applications and map software. BuddyBeacon is a GPS navigation app for mobile devices that allows live tracking of a user's location. The BuddyBeacon API is currently in beta. It grants access to a user's raw BuddyBeacon data for map, app, or mash-up creation.",Mapping
"olpcMAP provides a free, publicly-available, and publicly-editable global map of locations where education technology is in use. This resource makes it easier for educators and volunteers to connect with nearby technology projects. The olpcMAP API allows users to insert maps of technology education projects on their own sites at various levels of detail, geographic scope, and complexity.",Mapping
"Locating London's Past is a site that lets users search a collection of digital resources relating to early modern and eighteenth-century London, and then map those results on top of historical or modern maps. The Locating London's Past API allows developers to programmatically query the source indexes. The API delivers JSON-formatted metadata describing matching terms, including geographic coordinates. The API is also able to deliver XML formatted full text responses for some resources.",Mapping
"Provides driving, walking and biking directions via web service. Basic directions between two pairs of latitude/longitude points are supported, as well as more advanced directions options. The service allows developers to pass multiple points and receive directions for the entire trip. CloudMade is built on top of OpenStreetMap data.",Mapping
"The MapmyIndia REST Reverse Geocoding API allows developers to access the geocoding functionality of MapmyIndia for integration with other applications and websites. The main API method is retrieving addresses and other information from posting geocoding coordinates in India. MapmyIndia provides mapping solutions, tracking solutions, and GPS and GIS services for India.",Mapping
"OpenStreetMap is a free editable map of the whole world, made by users, that allows users to view, edit and use geographical data in a collaborative way from anywhere on Earth. The OpenStreetMap Overpass API is a read-only API that returns XML encoded OSM map data in response to requests.",Mapping
"The Mapsense API allows developers to insert vector maps into their websites. This service is based on the Polymaps API and uses D3 for handling drawing and selection. Tiles are generated dynamically upon request, which means that users control exactly which features and properties are returned. With Mapsense, users are able to create interactive, data-driven maps using rich vector map data.",Mapping
"The MapFruition Demographic Inquiry API is available in JSON format with an API Key. The API allows users to integrate demographic features such as population summaries, income, consumer expenditures, and educational level into applications. MapFruition provides GIS and GPS services to the government and the state. It also serves commercial clients.",Mapping
"The Google Places Web Service is a service that returns information about a place: an establishment, a geographic location, or prominent point of interest using an HTTP request. Place requests specify locations as latitude/longitude coordinates. Two basic Place requests are available: a Place Search request and a Place Details request. Generally, a Place Search request is used to return candidate matches, while a Place Details request returns more specific information about a Place.",Mapping
"The European Environment Agency (EEA) provides the public with GIS APIs to get a wide range of environmental data for Europe and helps you create your own map-services. As of today EEA covers the thematic areas such as Air, Water, Biodiversity, Land and Noise. More topics will be added. Services exposed from discomap.eea.europa.eu are allowed to be re-used by anybody. EEA content can be integrated in many different ways by developers or by any end-user who might find an interest in combining EEA's information with their own or other public map-services (mashups). As of today EEA covers the thematic areas such as Air, Water, Biodiversity, Land and Noise. We support access of these service to as many possible ways EEA can handle. All these map-services have meta data and a simple interface that allows you to discovered. These map-services are exposed in many other portals such as the INSPIRE portal, ArcGis.com, GEOS and many other. EEA gives anybody the rights to re-link these services into there own web-site or portals. EEA however only maintains it's meta data from the services hosted in this infrastructure.",Mapping
Mapbox is a suite of open source mapping tools. This API can be used to create interactive maps using a wide range of file formats and databases. It also allows users to host their maps so that they can be embedded on webpages and shared with a wider audience. All maps created using Mapbox are compatible with Android and iOS devices.,Mapping
Mapumental is a tool for creating travel time maps for places of interest in the UK. Users may type in a postcode or geographic coordinates along with a maximum travel time in minutes and instantly see their travel range. The Mapumental API's map output can be represented as either a PNG image file or a GRASS ASCII grid raster.,Mapping
"Smart-IP.net is a service that offers a suite of online network tools that lets users perform tasks such as IP lookup, WHOIS queries, spam check, email analysis and more. The API provides an interface to the IP lookup service allowing users to determine the geographical location of an IP-address or host with precision up to the city level. The API uses RESTful calls and responses are formatted in XML and JSON.",Mapping
Los Angeles Times API provides boundaries of cities within Los Angeles metropolitan area. The data is available in a number of formats. The boundaries can be displayed on a map or used to check for whether specific points are within the bounds.,Mapping
"AtlasCT is a maps and location-based services (LBS) company providing maps, geo-services, GIS and LBS to web and mobile developers, and enterprises. AtlasCT also produces applications for GPS navigation, social location sharing, child tracking and more. The AtlasCT Mobile Maps API is compatible with iOS, Android and Java ME (J2ME). The Mobile Apps API enables in-app maps and voice guided GPS navigation and features an interactive map, free form 1-line address search, local search, route search, places and check-in, voice guided turn-by-turn navigation, support for satellite imagery, display of custom content layers on the map, photo geo-tagging, and more.",Mapping
"The service defines political or administrative authority in effect for specified global locations. It builds on functionality of OpenStreetMap and the U.K. Ordnance Survey along with other accumulated information about location specifications, including postal codes and geographic information systems. API methods support definition of political jurisdiction boundaries for a particular point, specified by latitude and longitude or some other systems. Methods also provide jurisdiction for a specified area or multiple areas or related areas, such as subjurisdictions like a city within a county.",Mapping
"Seismi is an earthquake data visualization project which is using publicly available data provided by USGS and transforming it to a more informative, human readable and visually interesting form. The API provides information on earthquakes including most recent, magnitude, count and date of earthquakes. It uses RESTful calls and responses are formatted in JSON.",Mapping
VZ Navigator provides a developer interface which allows applications to execute commands such as navigating to a destination. The API requires the following functionality to be added to a caller application:Platform-specific discovery code to verify that VZ Navigator is installedCode to build the App2App URL needed to control VZ Navigator for navigationPlatform-specific code to launch VZ Navigator using the App2App URL,Mapping
"Telenav Scout for Apps is an HTML5 service that allows users to offer premium voice-guided turn-by-turn navigation experience on their smartphone with just one click to any address or location. The API is one line of code, a URL, that includes geocoding to guide users to any address or POI from any mobile website, app, or email. Users are not required to download or install any software.",Mapping
"Getpos.de provides geolocation services that allow users to locate IP addresses, retrieve location information based on a postal code, and search for a store location in a given area or worldwide. These services are available directly through a web interface or programmatically using SOAP-based APIs. All information retrieved via API comes with titles and corresponding standardized codes so that users can process the information more easily. The getpos.de website is provided primarily in German. A limited portion of the site is also translated into English, but this does not include the API documentation.",Mapping
"Resighting is an application for geo-tagging and saving favorite places. Resighting allows users to also see other Resighting places nearby and create collections of favorite places. The Resighting API allows developers to access and integrate the functionality of Resighting with other applications and to create new applications. Some example API methods include listing places, listing sightings, resizing photos, and managing account information.",Mapping
"A DatePicker helps people to enter calendar data into form fields. This GeoPicker helps people to easily enter latitude, longitude, postal code, etc. A popup with a Google Map lets the user search for the requested location and finetune the result by using a drag & drop marker. Another button click returns the resulting geodata back to your application or directly into the form field(s). Just link the API javascript file and specify, which data should be returned into which form fields or which callback function should process the resulting JSON object. You can also define a static starting point for the map, or let the starting point be calculated automatically by using data the user already entered into other form fields. You can even let the Map auto-detect the users location by using a devices built-in GPS functionality and the W3C HTML5 Geolocation interface. Currently supports English, Spanish, French, German, Russian & Chinese.But you can also define your own language strings. Check http://api.mygeoposition.com/ for an extensive API documentation and many examples for the different configuration parameters. It's up to you whether integration is a task of 2 minutes or you play around with all the configuration possibilities to perfectly please your needs.",Mapping
"The service provides fuel-conserving route and speed information for travel worldwide. An application provides input about the destination and desired route as well as desired energy savings, and the service returns an optimal route and projected fuel use. It can also provide on-going navigation, route tracking, and fuel-consumption updates. API methods support submission of route parameters such as location, distance, direction, grade, and road type as well as vehicle information (weight, occupants, fuel type, etc.). The API returns specifications for an optimal available route and projected fuel conservation results.",Mapping
"The British Oceanographic Data Centre (BODC) is a national facility for maintaining and distributing data concerning the marine environment. They provide several web services for implementing this data, including the Marsden Square Translator Service, which is accessible using SOAP calls. Data is returned in XML format. Marsden Squares are a tool for expressing spatial coordinates by dividing the Earth's surface into indexed squares. They are used primarily for identifying the geographic position of meteorological and oceanographic data. The BODC Marsden Square Translator Service allows users to input a list of Marsden Square references and calculate the geographical coordinates of the rectangular bounding box enclosing them.",Mapping
The Maptimize API allows users to upload their map data to their Maptimize account. Maptimize optimizes Google Maps by merging groups of markers as clusters to reduce the amount of visible items on screen. That keep it much lighter to load and better for the viewer. The API uses RESTful protocol and responses are formatted in XML.,Mapping
"The API provides a number of utilities for manipulating maps and adding content to the map for integration with another website. Based on the input address, X-Y coordinates, or IP address, it returns the geocode, U.S. Census tract, city and neighboring cities, Zip code and neighboring Zip codes, county, school district, and more.",Mapping
"DB-IP is an online geolocation IP database. Users can look up IP addresses to find out locations of the IP addresses, as well as download and access the IP database. The DB-IP API allows developers to access and integrate the functionality of DB-IP with other applications. The main API method is retrieving address and location information for IP addresses.",Mapping
"Fruitmap is a user generated map of various types of fruit trees around the world. Anyone can easily mark the location of a tree on the site's map. Fruitmap exposes its data through a simple API. The API is able to deliver general data on all of the site's trees by type, as well as the location of all trees of a given type.",Mapping
"The Geocoding API allows you to find the coordinates (latitude/longitude) of a location based on the address provided. Additional features include reverse geocoding, batch geocoding, viewport biasing, thumbnail images, and more. Requests can be submitted as key-value pairs, JSON, and XML.",Mapping
"The service provides latitude/longitude location for a specified U.K. postal code. The coordinates are supplied in format suitable for online mapping or use in distance calculations between pairs of postal codes. API methods support submission of a U.K. postal code in the Ordnance Survey's Code-Point(R) format. Returned data provide a Boolean indicator of retrieval success, and if successful a latitude-longitude pair formatted according to the WGS84 coordinate system.",Mapping
"Social Crawlytics API allows users to gather social media metrics on any site/URL. The API is stateless, meaning there are no sessions or cookies to manage, users just supply their account token and key with each API request made. Users can find their API credentials by logging into Social Crawlytics and looking under the Dashboard tab for API Credential. Available tools Interactive documentation https://socialcrawlytics.com/docs/api/interactive PHP Library for Social Crawlytics https://github.com/ysekand/socialcrawlytics-php-api",Social
"The Social Directory API provides profile (identity) and connection (relationship) information about Yahoo! users. A profile is a collection of user provided information that is descriptive of the user, such as the user's name, gender, location, photo, and relationship status. The connections of a user identify other users who might be friends and business associates.",Social
"YouMagine is a 3D printing community. The YouMagine API enables sharing and collaboration within that community. Applications include a web-based design app that allows you to post designs, a desktop application that enables you to upload projects, and a javascript widget that can showcase designs.",Social
"Readmill is an online and mobile platform for readers to share information about what eBooks they are reading, allowing them to highlight and discuss sections of eBooks with other users. The Readmill API allows developers to access and integrate the data and functionality of Readmill with other applications and to create new applications. Some example API methods include retrieving and managing user information, retrieving information on books, and managing comments from Readmill.",Social
The SuperTweet.net API provides a means to take advantage of Twitter's OAuth authentication technology without the cost and complexity of OAuth in your simple tweeting applications.,Social
"The service monitors traffic on Facebook and Twitter and conducts semantic analysis to identify frequently occurring words and phrases associated with trends emerging as common discussion topics. It matches a search query with headlines, videos, images, phrases, and hashtags posted to the social media platforms on the same topic. Posts are grouped and linked by topic to select relevant content and identify popular concerns of the moment. API methods support submission of a query term with optional parameters to specify the platform to be searched (Twitter, Facebook, or both) and the number of responses to return. Parameters can also include a location to limit results to responses originating in a particular area. Returned values include URLs most frequently associated with the query term, as well as associated hashtags, phrases, and sources.",Social
"The Spot2.be API and service tries to solve the location, addresses, maps and directions hassle by combining all important data it all in one simple tiny link. A spot is a mapped location accessed by a simple URL. Spots can be sent and opened via internet or mobile technology.",Social
"The ShareThis WebShare API allows developers to access and integrate the functionality of ShareThis sharing links to social networks. The main API method is sharing links and sharing shortened links on social network destinations. ShareThis is an application that lets users share links to contacts, social networks, and blogs.",Social
"SLI.js (pronounced SLY-J-S) is a simple, drop-in javascript that creates social signin/social login in one easy step. The tool is free to use and requires no registration. All you have to do is drop in the javascript into your page and add a link that a user clicks on to open the dialog box for users to use to log in to your site. Once they sign in with their social signins (facebook, linkedin, google, yahoo, etc), the javascript will send back two objects that you can reuse for your own code. The first object is the details on the user (name, email, etc) and the second object is their list of contacts for use in addressbook applications and the likes. This tool implements oauth across multiple services for you.",Social
"The Consumer Insights API allows for easy integration of real-time social insights into other business applications to enrich contact and profile data. The API uses RESTful calls and responses are formatted in JSON. LeadSift is a social intelligence platform that mines audiences to help brands identify, understand and reach consumers in real-time through the lens of intent, profile and affinity. For every user collected, over 100 attributes about their habits, trends, preferences and lifestyle are extracted and analyzed to create a 360-degree view of a customer.",Social
"The SoDash API gives you access to the full power of the SoDash system to assist in providing effective social customer service. Some of the many features are: data collection, data analyzing with business rules, machine-learning, report generation, and messaging services.",Social
"The Dailyplaces API allows creation of POIs, comments and status updates as well as managing a user is follower lists. It can also be used to find POIs by date, location, author and other criteria. By making its API public, Dailyplaces enables developers to build applications on top of the Dailyplaces platform. The API allows creation of POIs, comments and status updates as well as managing a user is follower lists. It can also be used to find POIs by date, location, author and other criteria. Possible applications include plugins for blog software like Wordpress to integrate your POIs into your blog, or web sites or mobile apps focussing on specific topics that can benefit from location based micro blogging. The API uses a RESTful interface and currently, JSON and XML are supported.",Social
"PinnedURL provides link redirection services with link management and analytics. Customers can shorten long affiliate URLs into PinnedURLs for use on social networking sites like Facebook, Twitter, and Pinterest. Customers can customize their URL with their own alias. The PinnedURL API allows developers to access and integrate the functionality of PinnedURL with other applications. Some example API methods include returning categories of URLs, managing URLs, and managing user information. The API returns either XML, JASON or Plain Text.",Social
"LiveWorld provides hosted community sites for companies to interact with their customers. These online parties, as the company calls them, help create dialog and relationships. The LiveWorld API provides programmatic access to much of the data and functionality within the LiveWorld platform. Developers can retrieve profile information, activity feeds, individual blogs, message forums and photo sharing, among other features. The API uses both SOAP and RESTful calls. Data for both protocols is made available via XML. Full documentation requires a LiveWorld account.",Social
"Qwerly is a people search engine for the social web. The service can be used to connect a user on one social network to accounts on other networks. Search using a Twitter username and Qwerly returns data and other social information links (Facebook, LinkedIn, Foursquare, Plancast, etc.). The API provides a simple, REST API with JSON response to use Qwerly's service within your own applications.",Social
"Gnip is an online provider of social data. It provides its customers with data gathered from different social media websites/sources. Gnip PowerTrack is a filtering language feature that lets users to search for things they need by using filters i.e. keywords, images, links,..The Gnip PowerTrack API lets developers integrate its services with their applications, enabling the users of their applications to access to data collected and provided by Gnip.",Social
This API enables developers to build third-party applications that interact with the AlterGeo platform. AlterGeo combines geolocation data with social data to provide users with local recommendations based on location of the mobile device. HTTP Basic Authentication is required for most actions. This API uses RESTful protocol and responses can be formatted in either XML or JSON. Site documentation is in Russian.,Social
The Chirpio API lets Twitter users rate each other through an app or web site. Users can also retrieve the current ratings and score of any Twitter user that has been rated on Chirpio. The Chirpio API is free to use and there are no quotas or API keys required during the beta phase. It uses a RESTful interface and responses are formatted in XML.,Social
"Google Plus is a service to share links, photos and other content. The Google Plus API allows developers to access publicly-available Google Plus content, including user information and publicly shared items.",Social
"StesCodes is a web solution provider. As part of their portfolio of services, StesCodes offers several APIs. The StesCodes Social Event Manager provides the ability to create one click buttons from which the user can give access to StesCodes to manage their calendars across various social networks. Using the API, events from StesCodes will be placed in the user's calendar. The API uses HTTP calls and responses are formatted in XML and JSON.",Social
"The concept behind Ingesture is to provide users with a web service that allows sharing of light-weight social messages that generate socially semantic URL's as shared gestures, which can also contain associated metadata or annotations. The API is intended for use by third party social networks and blogs. The root of each Ingesture domain displays activity logs for a particual gesture, and also connects to other aggregated web content related to that gesture, such as Youtube videos or Flickr images. Furthermore, metadata including geolocation, contextual url's, media attachments, QR codes, and tags can be included with each Ingesture object.",Social
Schmap is a service that allows companies and brands to connect with audiences and customers on Twitter. Schmap provides data about Twitter users for targeting. The Schmap API allows developers to access and integrate the functionality of Schmap with other applications. The Schmap API returns data on Twitter users. Public documentation is not available; interested developers should email inquiries@schmap.com for more information.,Social
"RSDN is a Russian website devoted to software development. It was created by programmers for programmers in order to compensate for the lack of materials on programming available in Russian. RSDN offers articles on a variety of topics, questions and answers, utilities, and ready-made components. The site also provides forums on which visitors may post their programming-related questions for others to view and reply to. The RSDN Janus API enables users to synchronize forums, post to the forums, and pull up forum topics. This service employs SOAP calls issued in XML format. The RSDN website and API documentation are provided exclusively in Russian.",Social
"Sina Weibo is a Chinese microblogging website. The Sina Weibo API provides developers with programmatic access to the service. Via the API, users can read and write to all aspects of the service including microblogging, comments, users, topics, relations and much more. The API uses RESTful calls and responses are formatted in JSON. The site and documentation are in Chinese.",Social
"Bazaarvoice is a social marketing company that helps clients to integrate social data across their entire organization. The Bazaarvoice Platform lets businesses capture and analyze customer conversations to help drive campaigns. The Bazaarvoice Platform API allows developers to integrate the functionality of the Platform, including customer reviews, in their own web sites and application. The API uses RESTful calls and responses are formated in XML and JSON. Full documentation requires registration.",Social
"Hyves is a Dutch social networking site. With the Hyves API developers can build applications or sites using content from Hyves. The API lets developers show content from Hyves on their own site and send content such as photos, videos, status updates, blog and tips to Hyves. The Data-API offers a wide range of functionalities such as:Sending messages to friends on HyvesSharing photo albumsRetrieving the latest activities of friends or famous HyversCreating blogs, tips and status updates The API uses RESTful calls and responses are formatted in XML, JSON, XMLP and JSONP.",Social
"The ShareThis Social Counts API allows developers to access and integrate the social activity of a particular domain across social networks and sharing activity. The main API method is retrieving the social count data. ShareThis is an application that lets users share links to contacts, social networks, and blogs.",Social
"Users can enhance their apps using lukup APIs for cross platform messaging, search, news feeds, contacts, location, etc. lukout is a location based search and messaging widget for mobile phones. lukup provides APIs to enable applications 'written once, to run on multiple consumer devices (mobile phones, desktops, etc)' and enable them to connect to multiple social networks (facebook, twitter, google, yahoo). Documentation is provided for a RESTful API with responses in JSON. A JavaScript API is also available.",Social
"The service connects the behavioral profile for a user account to email marketing and CRM functions to target communications based on customer actions. It syncs records of customer activities with back-end systems to enable delivery of timely and highly relevant communications. API methods support tracking and profiling of users based on their online behavior, with activity scoring and location information. Methods also support dynamic content generation and personalized delivery, with marketing messaging generated to synchronize with related behaviors.",Social
"Grow Venture Community (Grow VC) is a crowdsourcing platform for startup funding. In addition to posting opportunities for startup funding, Grow VC has online communities and forums to help startup entrepreneurs. The Grow VC is currently in beta and public documentation is not available. Developers interested in the API and building applications on top of the Grow VC platform should sign up here: http://www.growvc.com/blog/api-beta-program/.",Social
"The Cloud Elements Social Hub API provides developers with integrated access to major social media sites, including Instagram, Twitter, Facebook, LinkedIn, Google Photos, and Flickr. This allows developers to use uniform API calls to manage users, media, tags, locations, etc. across multiple social media sites.",Social
TweetHook allows users to set up a continuous Twitter Search and retrieve the data automatically. The TweetHook API allows users to manipulate the settings for the searches in their account in a programmatic way. All API calls are made over HTTP.,Social
"The web service extracts contact information from 25 email providers such as Gmail, Yahoo, MSN, Hotmail to allow imports to Facebook or other use. Pop-up allows user to sign in and confirm the function, then names, emails, and related contact information are retrieved. Allows reuse of distributed contact information for import to other services.",Social
"The TwitchTV Streams API Gets information about active streams that are returned sorted by number of current viewers, in descending order. It also Gets metadata information about active streams playing Overwatch or Hearthstone that are sorted by number of current viewers, in descending order. The response has a JSON payload with a data field containing an array of stream information elements and a pagination field containing information required to query for more streams that includes language, title, game_id, community_id, user_login and more. Twitch is a video platform and community for gamers and developers that want to learn how to build tools and integrations for social video platforms.",Social
"The service provides tools for recruiting, fundraising, and organizing by not-for-profit organizations, political campaigns, and other issue advocacy environments. It emphasizes community building around social causes and issues with the goal of promoting involvement and financial support. Campaign management functions help to coordinate messaging and integrate responses with fundraising and related functions. API methods support interactions of other systems with the providers organizing, communication, advocacy, and fundraising tools. The API handles messaging from external systems to update community information managed by the platform via methods to get data from the system and save data back to system nodes. API calls request resources at the campaign's own domain, which the service helps to establish and manage.",Social
Yammer is a private social network for companies. The tool was originally for making companies and organizations more productive through the exchange of short frequent answers to one simple question: What are you working on? The Yammer API allows third-party developers to create their own Yammer applications.,Social
"Renren is a Chinese social network to find old friends and meet new ones. The Renren API is an open platform based on Open Social. After authenticating, developers can retrieve friend lists and check friend status between users. The API also has access to notifications and invitations. Two of the more unique services provided by the API lets users pay for certain applications and allows developers to register new users.",Social
The Syndicate-G API offers Google Plus data conversion services to existing applications. This API returns public posts to an RSS feed in XML format by using a Google Plus user ID. It runs on Express.js and Redis.,Social
"What's on My Bookshelf is a book trading community that allows users to list books they have and view what books other people have. Users can trade books with each other and with the community. The What's on My Bookshelf API allows developers to access information from What's on My Bookshelf. Example API methods include accessing user information, registering users, and registering books.",Social
"Subeta is a forum-based social site on which users can adopt a virtual pet and customize a human avatar. The site also features games and an extensive variety of clothing items that can be used to dress up an avatar. The Subeta API enables developers to programmatically retrieve site user details, user wardrobe information, lists of users' items, and item information. Site users can employ the API to alter their avatar's wardrobe and send events to other users.",Social
"Localstreamer is a geolocation system that allows users to explore events, data and people's thoughts in every place on the earth. Localstreamer provides a set of API services to allow users to customize their web-site or applications to their end users. The three RESTful APIs are: Geohash (encodes latitude/longitude pairs in a compact form), Text Geolocation (It helps developers by extracting from a given short text a country code, a language and a latitude/longitude pair) Worldtime (The service enables users to obtain the current local time for any place in the world by specifying the decimal coordinates latitude/longitude pair and a data display pattern)",Social
"Trove is a platform for users to connect all of their online accounts and applications. Trove allows users to create one single login for one platform that allows them to manage their online content and privacy from one online location. For developers, Trove offers an API to access user data from a variety of sites in one location for integration with other applications and to create new applications. Example API methods include accessing user data and content, retrieving photos and other content, and accessing user status updates and check ins from a variety of sites.",Social
"Use the Directed Edge API to locate connections among a collection of items. With Directed Edge, you can help your users find interesting information, good music, cool people, and exciting events. If you run an online store, Directed Edge has a recommendation engine that can help you sell more products. If you have an information site, Directed Edge can help make navigation easier. Use the API to get a dump of all items in the database, including links and tags for each item. Or get 20 related items, sorted by relevance.",Social
"Pikchur is a service that updates social networks/micro-blogging platforms with pictures & videos. Users can upload content using a computer, cell phone, or any other mobile device and Pikchur will distribute them over the social web. The Pikchur API is a RESTful service that allows users to interact with the service in order to perform tasks such as authentication, posting and creating data feeds.",Social
"AddThis is a free way to boost traffic back to your site by making it easier for visitors to share your content. With the AddThis Services API, combined with the oExchange sharing endpoints, and the personalization information provided by the User Data API, you now have all the same tools as the official AddThis menu. Developers can use the Services API as an alternative to the JavaScript-based AddThis Menu API.",Social
"The HubSpot Social Media API allows developers to get, create, and cancel broadcast messages for publishing channels (e.g. a Twitter profile or a Facebook page). The API can also be used to get details on one or more publishing channels. HubSpot provides a stack of products that include customer relationship management, marketing, and sales services.",Social
"Supporting such clients as FOX Entertainment, Panasonic, the NBA, and THQ, ONEsite is an organization that specializes in the design, creation, and implementation of community websites and social applications. ONEsite offers a wide range of services to its clients, revolving around the establishment of online communities and social web presence. Their services include setup and customization of the ONEsite community platform, development of new features, integration with new and existing systems, application development, management of social web presence, and mobile development. ONEsite's API is offered in both REST and SOAP, and allows for finely-grained control over services provided by the ONEsite platform. The ONEsite web services were created with a service-oriended architecture to facilitate the integration of external services with ONEsite features such as comment hosting RSS feeds. Full documentation is available with registration and login.",Social
"Use the Tarpipe API to manage your social presence on sites such as twitter, Jaiku, Pownce and FriendFeed. You can share content, automate postings, view your activity backlog, and create workflows that you can trigger by e-mail, instant messages, or third-party apps. Use the API to see what an OAuth ID is subscribed to, start a workflow, get information about a user, get info about an existing workflow, get activity information for activities within a workflow, and get information about supported services.",Social
"Grou.ps is a service that allows users to create their own social networks. Grou.ps allows organizations, companies, schools, and other groups create their own private social networks to keep their employees, students, members connected. The Grou.ps API allows developers to access and integrate the functionality of Grou.ps with other applications and to create new applications. Some example API methods include managing account information, managing user information, and retrieving network information.",Social
"Tvider is a video, audio and photo sharing service built on top of Twitter. Users can upload media, then share it in a tweet. The Tvider API exposes methods to authenticate the user, upload a media file and create a new status update on Twitter.",Social
"GetGlue is a social networking service where users check-in to share what movies, videos, or TV shows they are watching, what they are listening to, and what they are reading with their friends. The GetGlue API allows users to access GetGlue's information and functionality to create new applications. Some example API methods include checking in, liking or disliking an object, accessing user information, searching by categories and more, and adding friends to the user's network.",Social
"Wattpad is an application for web, mobile, and tablets that allows users to create and share stories. Wattpad also allows users to read stories and interact with the authors within the application. The Wattpad API allows developers to access and integrate the functionality of Wattpad with other applications. Some example API methods include retrieving story lists, retrieving story character information, and retrieving story categories.",Social
"Storify is a service that allows users to easily create stories from social media posts, such as Tweets or Facebook posts. These stories can then be embedded into blogs or websites, or be retweeted. The Storify API allows developers to create their own applications containing Stofify stories. Developers can get any story in JSON format by appending '.json' to the end of any Storify permalink (Read API). Developers can also create applications that let users create new stories (Write API).",Social
"It has been split into multiple APIs, including the Twitter Ads API, Twitter Search Tweets API, and Twitter Direct Message API. This profile is maintained for historical, research, and reference purposes only.The Twitter micro-blogging service includes two RESTful APIs. The Twitter REST API methods allow developers to access core Twitter data. This includes update timelines, status data, and user information. The Search API methods give developers methods to interact with Twitter Search and trends data. The API presently supports the following data formats: XML, JSON, and the RSS and Atom syndication formats, with some methods only accepting a subset of these formats.",Social
"Ning is a platform for creating social networks. The Ning REST API integrates with any Ning Pro account to import, export, and share data from apps running on Ning across the web or onto your desktop. Manage users, blog posts, photos, comments and other elements of your Ning Network. The company also has an API that supports the OpenSocial standard.",Social
"The service provides a data-collection platform for smartphones designed to invite and log user responses for any application. Forms and collection tools provide touch-friendly controls for ease of use, logical question selection and branching based on user responses, and configurable themes. Data analysis and report tools retrieve responses with a range of visualization options. API methods support creating and viewing questions to be presented as well as user responses, either by individual submission or in summary.",Social
"The service enables management of member lists, subgroups, and other functions of clubs, interest groups, not-for-profit associations, and similar membership organizations. It establishes a platform for social engagement among members, including granular management of connection networks. Members can post wall updates, upload media galleries, and communicate via messaging functions. API methods support retrieval of member lists and profiles, member record creation, and updates to profiles and member data. Methods enable messaging functions like in-box management, read/unread status, etc. The API also supports tracking members' financial histories with the organization.",Social
