Service Description,Service Classification
MeteoGroup is a provider of full-service B2B weather solutions that allow businesses to take into account weather predictions in their decision-making processes. The MeteoGroup Station Metadata API provides access to the database of weather stations that generate forecasts and observation data. The API returns responses in GeoJSON format.,Weather
MeteoGroup is a provider of full-service B2B weather solutions that allow businesses to take into account weather predictions in their decision-making processes. The MeteoGroup Sunrise & Sunset API provides alerts for sunrise and sunset times so that users can know the exact times when that can look at the horizon to experience the beautiful color variations. The API determines the sunrise and sunset of a given location using the combination of date and longitude and latitude grids. The API returns responses in JSON format.,Weather
MeteoGroup is a provider of full-service B2B weather solutions that allow businesses to take into account weather predictions in their decision-making processes. The MeteoGroup Air Quality API delivers the pollution data of specified locations. This includes pollen data in the UK. Requests for pollution or pollen data must be provide geo location point by latitude and longitude. The API returns responses in JSON format.,Weather
"MeteoGroup is a provider of full-service B2B weather solutions that allow businesses to take into account weather predictions in their decision-making processes. The MeteoGroup Lightning API conveys real-time data of all the Lightning strikes that occur over a specified duration within the last 72 hours. The display results of the strikes are categorized in different color codes according to severity. Unlike other MeteoGroup APIs that specify single areas in requests, the Lightning API requests are restricted to a four-sided geographical grid. The API returns responses in JSON format.",Weather
MeteoGroup is a provider of full-service B2B weather solutions that allow businesses to take into account weather predictions in their decision-making processes. The MeteoGroup Point Forecast API supports weather predictions for particular locations on the basis of historical observations alongside various numeric prediction models for weather conditions. The API is requests are programmed to trigger searches for the meteorological station within the proximity of the provided latitude and longitude grids of a location. The API returns responses in JSON format.,Weather
"This DreamFactory SOAP service provides clients with REST-based access to XML-based SOAP remote services, that converts the client request (JSON, etc.) to a SOAP request to the remote service, and the SOAP response to a easily consumed client response (JSON). DreamFactory takes the service's configured WSDL file and auto-generates a Live API service definition, determining available resources, required payloads, returned data types, and scriptable events. DreamFactory is an open source REST API backend for mobile, web, and IoT applications. It is a middleware platform that enables developers with the ability to connect to any data source and get a palette of secure, reliable, and customizable REST APIs for their projects.",Backend
"This DreamFactory API provides a way to send push notifications to your Apps running on iOS and Android devices. This includes support for AWS Simple Push Notification (SNS) service, Apple Push Notification Service (APNS) and Google Cloud Messaging (GCM) service. This service allows DreamFactory to be used as your push notification provider. Your App can register user devices on DreamFactory, then send the notification targeting an App, and all devices registered under that App will receive the push notification. DreamFactory is an open source REST API backend for mobile, web, and IoT applications. It is a middleware platform that enables developers with the ability to connect to any data source and get a palette of secure, reliable, and customizable REST APIs for their projects.",Backend
"The Intrinio Zacks Current Long-Term Growth Estimates API provides programmatic access to a data feed of consensus estimates of the long-term earnings per share growth rate for US and Canadian companies. It offers more than 4,500 consensus estimates, including quarterly and annual estimates of earnings as well as high, low, mean, and median data points for stocks.",Stocks
This SonarQube service allows Webhooks that POST to the external HTTP(S) URLs you specify after the analysis report has been processed by the Compute Engine. Webhooks are used to notify external tools of the Quality Gate statuses of your projects. SonarQube enables developers with continuous inspection of code quality.,Analytics
"The SonarQube Web API provides access to SonarQube functionalities from applications. SonarQube is an open source platform to perform automatic reviews with static analysis of code to detect bugs, code smells and security vulnerabilities on 20+ programming languages including Java, C#, JavaScript, C/C++, COBOL and more. SonarQube enables developers with continuous inspection of code quality.",Analytics
"The Meteomatics Weather API offers global forecast (and historical) model and observational data. The API supports point queries, time series queries, and areal queries from all major weather offices. The Weather API returns interpolated responses if no specific location or date is provided. Several response formats are supported including CSV, JSON, and XML. Meteomatics is a meteorological software provider based in Switzerland.",Weather
"The Intrinio Corporate Events Dates API provides programmatic access to a feed of more that 25 corporate action date data points for over 6,000 companies. The feed includes dividend pay dates, ex-dates, currency, amount, frequency, upcoming earnings dates, conference call dates, and broadcast URLs. It covers both US and global securities.",Stocks
"The US OTC Bulletin Board Prices API gives developers programmatic access to a feed of daily updates for all stocks trading on the OTC Bulletin Board. This feed includes both adjusted and unadjusted prices as well as volume, open, low, high, and close prices. It also includes dividends, adjustments, and splits. The feed is updated at 10pm EST.",Stocks
"The Intrinio Zacks Sales Surprises API gives analysts and developers access to a data feed of pre-earnings release consensus sales estimates for thousands of US and Canadian stocks. These estimates are aggregated, validated, and compared to non-GAAP sales reported by the company, which gives the amount and percent surprise on release",Stocks
"The ShipEngine API provides a way to ship with any of the 20+ supported ShipEngine shipping carriers that includes; Create a Label, Delivery Confirmation, Query Shipments, Carrier Connect and more. It provides a way to build shipping functionality into an existing application or service, to access the top global carriers, track packages across supported carrier accounts, create tracking events to keep your customers up-to-date, and compares rates for carriers connected to your account. ShipEngine supports address validation in the United States, Canada, Great Britain, Australia, Germany, France, Norway, Spain, Sweden, Israel, and Italy, that allows you to integrate real-time tracking information for shipments into your app, email, or SMS.",Shipping
"The Budbee API returns home product delivery data into applications, including collection points, delivery postal code validation, orders, parcels, and tracking. It's available in JSON format via App Key. Budbee is a home delivery service based in Stockholm, Sweden.",Shipping
"Checkmate Vivus is an events social network designed to provide a way of socializing via events. It helps developers integrate the events API on various browsers and devices, that allows programmatic access to much of the data in the Checkmate system. Because this is an indirect API, the only way to interact with it is through the SDK, so please check the SDK tab below for details. Checkmate Vivus is an Events management and social network platform to share events, build connections, buy tickets, host events, promote, and reach out to your intended targets. It enables you to create events, see what events people are talking about, view popular events with your target audience and advertise to them using digital posters and join one of the thousands events managers and companies who use the checkmate vivus platform to get instant feedback. Checkmate Concevoir is a data management company in the United Kingdom with products that includes; Checkmate Vivus, Deus and Iuvo.",Events
The Thomson Reuters Screening Deployed API allows developers to implement data filtering concepts when building apps. The API offers simple integration for use with standard deployed web services. Its internal screening functionality is useful for establishing connectivity to the SD Screening API over HTTP. This functionality also enables the mapping of Thomson Reuters Professional Services i XML schema definition file.,Application Development
The Thomson Reuters Screening Online API allows users to interact with the World Check Database of Thomson Reuters. It provides robust and scalable functionalities that organizations can use to enhance production and operational efficiencies. The API conveys requests and responses in JSON format.,Application Development
"The Microsoft Azure IoT Hub simplifies the implementation of IoT Hub is device, messaging, and job services concepts. Developers deploying the API have the option of accessing the messaging services from either an Azure-anchored IoT service or through the internet using an application that is compatible with HTPPS requests and responses.",Internet of Things
Droplit is a provider of infrastructure for connected devices. The Droplit.io API allows developers to issue commands and implement connectivity concepts for IoT devices. The RESTful API conveys responses and requests in JSON format.,Internet of Things
"The Oversea-Chinese Banking Corporation Limited (OCBC) is a Singapore-based bank that has operations spanning 17 countries. The OCBC Account Transaction History API allows developers to integrate the functionalities for accessing the account transaction histories of OCBC customers. It is a useful platform for building financial services apps including banking, accounting, and budgeting apps that can assist customers to plan and manage their personal finance targets. The API returns JSON responses and requires token authentication. The API is currently a beta release.",Banking
The Oversea-Chinese Banking Corporation Limited (OCBC) is a Singapore-based bank that has operations spanning 17 countries. The OCBC Rewards Calculator facilitates the calculation of a user is redeemable rewards attributable to their OCBC loyalty accounts. Developers can make API calls using the HTTP method and URI Query String. The API returns responses in JSON format.,Banking
The Oversea-Chinese Banking Corporation Limited (OCBC) is a Singapore-based bank that has operations spanning 17 countries. The OCBC Pay Anyone facilitates money transfer to any recipients without using their bank account numbers. This is made possible by use of alternative credentials that include email addresses and Facebook accounts. The API returns JSON responses and requires token authentication. The API is currently a beta release.,Banking
"The Watson IOT Platform facilitates secure communication between IoT devices using MQTT and TLS. The IBM Bluemix IoT API simplifies access to IoT devices and data that allows developers to build analytic applications, dashboards, and IOT apps for mobile platforms. It makes it easier for developers to manipulate different operations for device management when accessing and storing device data in addition to connecting gateway devices.",Internet of Things
"The Intrinio Zacks Historical Earnings Estimates API provides programmatic access to current and historical estimates of earnings from Zacks Investment Research for US and Canadian securities. The available data includes quarterly and annual estimates of earnings per share, estimate dates, fiscal periods, the percent change, and the standard deviation of estimates. Developers can use this data to estimate future earnings and to perform detailed back testing analysis of Zacks estimates.",Stocks
"The Intrinio Zacks Current Earnings Estimates API provides programmatic access to analyst estimates of future earnings for thousands of US and Canadian securities from Zacks Investment Research. Information available through this API includes quarterly and annual estimates of earnings, estimate dates, fiscal periods, the percent change, and the standard deviation of estimates.",Stocks
"The Semaphore API offers an out of the box CI server designed to hasten deployment processes. Developers need only to push newly updated code to the cloud to test it, then Semaphore deploys the code with Docker for continuous delivery. The API requires JSON formatted input and output. Semaphore offers several plans for deployment, and a 30 day trial is also available.",Application Development
"The Intrinio Zacks Historical Sales Estimates API provides programmatic access to current and historical estimates of sales from Zacks Investment Research for US and Canadian securities. This information includes both quarterly and annual sales estimates, estimate dates, the percentage change, and the standard deviation of estimates. This SDK can be used for backtesting of Zacks estimates as well as valuation analysis.",Stocks
"The Weatherbit Historical Weather API provides hourly historical weather information for cities, postal codes, IP address, and more. The API supports up to 5 years of historical data from over 380,000 cities. This data is quality controlled and corrected. The supported response formats are JSON and JSONP. API Key is required to identify the requester.",Weather
"The Q2 Debit API allows developers to build applications that utilize checking account functionalities. The API supports compliant checking accounts with routing numbers, FDIC-insured accounts with a bank of record, and provides debit cards. JSON is the preferred format for input and output methods. Q2 is an Austin based banking technology firm that delivers unified voice, mobile, and tablet banking services.",Banking
"The Q2 Save API integrates savings account functionalities with existing business oriented applications. The API supports cost effective accounts with routing numbers, support for interest like a standard savings account, and unlimited sub-accounts. JSON is the preferred format for input and output methods. Q2 is an Austin based banking technology firm that delivers unified voice, mobile, and tablet banking services.",Banking
"The Q2 Ledger API offers an alternative to checking accounts with a full featured ledgering system and no routing and account numbers. Fund management follows FBO (For Benefit Of) instructions. JSON is the preferred format for input and output methods. Q2 is an Austin based banking technology firm that delivers unified voice, mobile, and tablet banking services.",Banking
"The Q2 Biller Direct API adds bill pay functionalities to existing banking applications. The API aggregates diverse bills in a single user interface. Push notifications are sent directly by the API, and over 5,000 billing providers are supported. JSON is the preferred format for input and output methods. Q2 is an Austin based banking technology firm that delivers unified voice, mobile, and tablet banking services.",Banking
"The OCBC Education Calculator API estimates a student education amount. Developers can call the interface via HTTP GET method with a chain of query parameters, receiving responses as a JSON data object. Some features include estimated education cost and years, total savings, and investment amount. The Oversea-Chinese Banking Corporation Limited (OCBC), addresses the diversity across cultures and geographies to develop technologies that improve the user experience.",Banking
"The Teller API enables your applications to connect with all of your users' bank accounts across institutions, using a single thoughtfully-designed HTTP API to move money, make payments, view transactions, and more. The API allows you to: view accounts, check balances, view transaction history, make transfers between accounts, make payments to 3rd parties, create, view & destroy payees, view & cancel direct debits, and view & cancel standing orders. The Teller API is HTTPS only. All requests to the Teller API must be authenticated via Personal Access Tokens, or TAuth (essentially OAuth 2.0 implicit grant where the client authenticates using SSL client certificate).",Banking
"Piwik is an open source platform for web analytics software solutions. The Piwik Tracking API allows users to monitor web traffic. HTTP requests, over either GET or POST, to the API is endpoint returns results of page views, events, and visits. The RESTful API returns responses in JSON format.",Analytics
"Piwik is an open source platform for web analytics software solutions. The Piwik Reporting API facilitates data generation for specified requests including daily, weekly, monthly, and yearly periods as well as reports for specified date ranges. Access to the RESTful API requires token authentication.",Analytics
The Ohpen API allows developers to access and integrate the functionality of Ohpen with other applications. Public documentation is not available; API access comes with account service. Ohpen is a cloud-based SAAS for banking systems.,Banking
"The Tide REST API allows developers to access and integrate the functionality of Tide with other applications. Some example API methods include retrieving companies, managing accounts, and retrieving transactions. Tide is a business banking platform.",Banking
"The OCBC Account Balance API provides access to OCBC customers' account balances, with their consent. This allows developers to create budgeting apps that use customers' bank balance information. API calls require an access token and return JSON-formatted responses. This API is currently in the pilot phase. OCBC is a leading Singaporean bank with international operations in 17 countries.",Banking
The Instarem API allows developers to access and integrate the functionality of Instarem with other applications. Public documentation is not available; API access comes with account service. Instarem is a money transfer platform in Asia.,Banking
"This API is an Open Banking standard that allows you to register an intent to retrieve account information by creating an iaccount request i. This registers the data ipermissions i, expiration and transaction history timeframe the customer (PSU) has consented to provide to the AISP; and Subsequently retrieve account and transaction data. Open banking provides a way to share customer information securely with personalized financial advice to third party providers.",Banking
"The Payment Initiation API Specification describes the flows and payloads for initiating a single immediate domestic payment. The endpoints allow a PISP to; Register an intent to setup a payment instruction, Subsequently submit the payment instruction for processing and Optionally retrieve the status of a payment setup or submission. Open banking provides a way to share customer information securely with personalized financial advice to third party providers.",Banking
"The TrueLayer REST API allows developers to access and integrate the functionality of TrueLayer with other applications and to create new applications. Some example API methods include listing accounts, retrieving account balances, and retrieving account transactions. TrueLayer provides developers with tools to integrate banking systems and infrastructure with financial services products.",Banking
"The Codeship REST API allows developers to access and integrate the functionality of Codeship with other applications. Some example API methods include retrieving projects, listing projects, and managing builds. Codeship is a Continuous Integration (CI) platform that allows users to manage and deploy applications.",Application Development
"The Stackery REST API allows developers to access and integrate the functionality of Stackery with other applications and to create new applications. Some example API methods include managing responses, managing users, and managing applications. Stackery provides a platform and tools to build, test, manage, and deploy serverless applications.",Application Development
"DSA (Distributed Services Architecture) offers a communication layer for Internet of Things devices. DSA unifies services, devices, applications in a real-time model, and a decentralized architecture allows developers to easily distribute functionality. DSA is a modular interface with a small footprint that creates a multi-layer network tenancy for different use cases.",Internet of Things
The Yahoo Analytics Reporting API returns analytics data and or publishing metrics outside of Flurry Developer Portal. It is available in JSON and CSV formats with token as the authentication method.,Analytics
"The Intrinio Zacks Current Sales Estimates API allows developers to access insights from Zacks Investment Research for use in analyst estimates of future sales of US and Canadian securities. Available information includes quarterly and annual estimates of earnings, estimate dates, the percent change, and the standard deviation of estimates. More than 4,500 consensus estimates are provided.",Stocks
"The Scorocode API offers a cloud based backend that features user and session management, data modeling with visual interface, visual analytics, and notifications. Developers can quickly access data structures for collections and fields, connect event triggers, and access statistics. The API is free for small applications, but is limited to 20 calls per second.",Application Development
"The Sandbox Banking REST API allows developers to access and integrate the functionality of Sandbox with other applications. Some example API methods include managing customers, managing accounts, managing loans, and managing transactions. Sandbox Banking provides solutions to integrate new software with banking systems.",Banking
This is the Nanobox V2 API client written in Go (golang). Nanobox is an application development platform.,Application Development
"The Intrinio National Stock Exchange (NSE) of India Stock Prices API allows developers to get end of day stock prices for all securities trading on the NSE. Developers can get high, low, open, close, volume, split ratio, and adjusted prices for each stock. API responses are given in JSON or CSV. Data goes back to 2007 and is updated daily.",Stocks
"The BBVA Notifications API provides a way for developers to set up basic delivery configuration parameters for a specific application. The API allows you to get notified in real time of your customers banking transactions. It provides methods to retrieve and or delete the subscriptions associated to the application that allows for the following operations; Create, retrieve, update and delete the configuration parameters for an application, Get all the subscriptions associated to an application and Delete a subscription associated to an application. The BBVA API Market is a platform for global financial services for business.",Banking
"This API provides a way to create and service your customers debit card needs with the operations that are available for debit cards. These services require that the card be linked before executing and allows third party applications to perform the following operations; Retrieve all debit cards for a user, Get details of a debit card, Block or cancel a debit card when it has been lost, stolen or compromised and Link/Unlink a card to a user. The BBVA API Market is a platform for global financial services for business.",Banking
"The Compass Accounts API will allow your application to retrieve BBVA accounts for the logged user, get detailed information of a specific account and link or unlink accounts to your application. It provides a way to creating a neobank or an account affiliate, and to develop a financial app that accesses bank account transactions. This service will allow you to leverage the API and provides a way for your customers to create a new checking account and access key account data through your site or app. BBVA Compass APIs are implemented using (HATEOAS) Hypermedia as the Engine of Application State. HATEOAS enables interaction and construction of an API flow through provided hyperlinks. The BBVA API Market is a platform for global financial services for business.",Banking
"The Payments API provides a way to send money from an authorized user is BBVA account to any bank account, domestic or cross border. It allows third party applications to perform money transfers from a BBVA user is account that includes the following operations: Money Transfer, Transfer Simulation, Scheduled Transfer and more. The BBVA API Market is a platform for global financial services for business.",Banking
"This API allows third party applications to interact with the cards of a BBVA user and provides operations for Card list, Card detail and Card transactions. Gain access to the card information of your customers to trace all purchases your users make with their cards, using a few simple REST services. The BBVA API Market is a platform for global financial services for business.",Banking
"The BBVA Compass Payments Services provides the methods available for money movement between accounts and allows you to; Initiate transfers between BBVA Compass accounts and third party accounts, Cancel and/or reverse a transfer, Check the status of an individual transfer and more. It allows you to send and receive money with secure transfer fund capabilities. BBVA Compass APIs are implemented using (HATEOAS) Hypermedia as the Engine of Application State. HATEOAS enables interaction and construction of an API flow through provided hyperlinks. The BBVA API Market is a platform for global financial services for business",Banking
"The Business Accounts API allows third party applications access to business authorized bank accounts and transactions. It provides a way to retrieve the balances and transactions of your business users in the market standard format, AEB43, with automated and native access from your product. The BBVA API Market is a platform for global financial services for business.",Banking
"The BBVA Accounts API allows third party applications to interact with the accounts of a BBVA user. It provides a way to verify ownership, check balances and retrieve account transactions and includes; account type, status, balance, transaction history and more. The BBVA API Market is a platform for global financial services for business.",Banking
"The Loans API allows you to see if the client has a pre-approved loan available with BBVA, the conditions attached to the loan and whether to accept, with just one click. It allows third party applications to retrieve the following information of a BBVA user Pre-approved loan for consumption installments and amounts. The BBVA API Market is a platform for global financial services for business.",Banking
The data services specifications for the PayStats API provides statistical transactions data that has been retrieved through BBVA cards or in BBVA point of sale. BBVA PayStats offers anonymized and aggregated statistical data from millions of transactions performed with any cards in BBVA POS terminals. The BBVA API Market is a platform for global financial services for business.,Banking
"The Customers API provides third party applications with information belonging to the BBVA user associated to the OAuth token used to invoke the API and includes; User is unique identifier, Name, Surnames, Gender and more. It allows you to retrieve current key user information that is accurate and updated without endless forms. The BBVA API Market is a platform for global financial services for business.",Banking
The BBVA Authentication protocol offers the a secure way that is approved by BBVA to access API resources by third party enterprises or developers. This protocol supports the OAuth2 Authorization Framework. The BBVA API Market is a platform for global financial services for business.,Banking
"The Intrinio Global Corporate Actions API allows developers to track over 45 types of corporate actions relating to more than 130,000 global securities. Such actions include announcements, annual shareholder meetings, stock splits, stock buy backs, dividend pay dates, bankruptcies, notes, and takeovers. Responses are provided in JSON or CSV format.",Stocks
"The Intrinio Trade Alert Options Prices API allows developers to get both recent and historical time series data on end of day option prices for US stocks going back to 2008. API responses are given in JSON or CSV and include close price, closing big, closing ask, implied volatility, open interest, and a count of trades for all securities.",Stocks
"The AerisWeather Maps Platform provides weather information in graphical form that includes a set of weather layers for past, current and future options, and customization options allowing you to create maps. Aeris Maps uses static maps that you add to a web page, visual display or fully interactive maps for web and mobile users with integration options. AerisWeather provides custom weather solutions that allow you to create your own weather data with Weather API is and developer toolkits.",Weather
The Intrinio Global Public Company Security Master API allows developers to get unique identifiers for securities and companies so that they always know which entity they're dealing with. This is especially useful when working with multiple countries and exchanges where the same security may be identified by multiple symbols. This service also provides basic information about entities and their known aliases.,Stocks
"The Intrinio US Bank & Bank Holding Company API allows developers to access quarterly reports for FDIC-insured banks. This includes filings such as UBPRs, Y-9Cs, and call reports containing information on the banks' assets, debts, and other company information. Users can query full statements or individual items from both historical and recent filings for any US bank.",Banking
"The Intrinio US Institutional Holdings API provides programmatic access to both recent and historic time series data that details institutions' stock holdings. Available information includes the location of the stock-holding business, the number of held shares, the value of those shares, and additional information about the holdings. Responses can be given in JSON or CSV.",Stocks
"The GuruFocus API returns stocks data in JSON formats. It is available in REST architecture with API personal token. With the API, developers can access company financial data, company key statistics data, stock quote data, stock historical price data, and guru financial aggregated data.",Stocks
"The SpaceDog API offers a cloud-based backend which allows businesses to focus on application design, user experience, and more features instead of server and administrative services. Developers can authenticate and authorize users, save and search data, update and push content, and deploy and publish resources. The SpaceDog API uses JSON for responses.",Backend
"This REST API provides standardized and as reported balance sheets, income statements, and statements of cashflow for all publicly traded stocks in the United States. It returns company list and information for all companies covered by Intrinio in Json format. This includes; Companies, Securities, Indices, Securities Search/Screener, Data Point and more. The 10Q and 10K data is available in as-reported and standardized versions, enabling cross equity comparisons even when statement items are not tagged properly. Statements are available back to 2007 and are updated in near real time as they are filed with the SEC (10-30 mins). Historical stock prices (high, low, open, close, volume, and adjusted prices) as well as current intra-day prices are available along with company news. Intrinio is a Fintech Marketplace for financial data feeds and apps.",Stocks
"This REST API provides aggregated financial benchmarks for 500+ United States Sectors and Industries grouped by SIC code. It allows you to view the average, 25th and 75th percentile and mode for data such as P/E, revenue, employee count, EBITDA and hundreds more for industries such as Oil & Gas, Pharmaceuticals, and Technology. This includes pull time series data to view historical financial metrics for any US industry as well as the most recent values to compare a single stock to it's industry peers or to gauge performance across industries. Intrinio is a Fintech Marketplace for financial data feeds and apps.",Stocks
"Insiders at publicly traded companies, such as executives or others with unique knowledge, are required by the SEC to disclose certain purchases/sales of stock. This Rest API tracks those transactions, allowing developers to view the holdings of specific stockholders or the holdings of any insiders at a specific firm. It reports all insider transactions for owners and companies and provides transaction details for both non-derivative and derivative transactions for all owners. Ownership holdings are aggregated by both owners and by companies, with the value of the holdings as of the previous trading day. This data is valuable if you want to monitor the stock trades of individuals with inside information about a company, enabling developers to do so automatically as the filings are made with the SEC. Intrinio is a Fintech Marketplace for financial data feeds and apps.",Stocks
"The deltaDNA API connects a game with an analytics platform which can perform 2 operations: generating unique user IDs, and obtaining triggered events. The API responds in JSON format. deltaDNA is an analytics platform for F2P games, social casino and gambling that features dashboards to tune different games, benchmarks with text cloud analysis, user alerts, direct access to raw data, user defined segmentation, and data mining capabilities.",Analytics
"The Ally API returns banking data. It is available with OAuth authentication and JSON formats, including in addition FIX protocol messages using a standard known as FIXML. REST operations include accounts, balances, and holdings. With the API, developers can write trading and analytics apps via their brokerage account. Ally is a bank that provides digital financial services, including credit card, auto, home loans, and investments.",Banking
"The Dronesmith REST API allows developers to access and integrate the functionality of Dronesmith with other applications. Some example API methods include managing drone objects, retrieving images, and controlling drones. Dronesmith allows users to fly and manage drones through the API.",Internet of Things
"The Hellenic Bank Authentication API can power your app with a robust set of permission-based consumer and business account and transactional data while adhering to bank-level security requirements. Effectively managing data is also key for regulatory reporting. Use the API to authenticate your users easily through your web/desktop and mobile applications. This will enable you to extend reach and attract additional customers. Transactions are performed in a secure manner with the OAuth 2 protocol. Self-register to get started. Testing for your your app is available in Hellenic Bank is sandbox environment. Real-time access on account activity via the Sandbox log. Hellenic Bank offers a platform of financial APIs. Companies or developers interested in using the APIs can register and test them in a sandbox environment. The APIs' openness and modularity allow customers to experiment and innovate. The standards allow them to connect their systems very quickly. Openness to 3rd party solutions (e.g. FinTechs) enables platforms for partnerships and integrated value chains. These APIs all you to: Partner with one of the leading and most innovative banks in Cyprus Unlock new business models with our APIs Secure, reliable and scalable APIs Open APIs available for non-customers of our bank Multi-currency money movements, authentication and account reporting all in one place Start creating using our realistic sandbox environment and quickly test your ideas",Banking
"The Hellenic Bank Account Reporting API will help you get a report and detailed information for any kind of transaction you are making; single or multiple. This API will allow you to view account statements, transaction status, details for each transaction, and view up to date account balances. Integrating this API will allow you to build apps that offer your customers account reconciliation services, personalized finance management and increased insights through detailed transaction analytics. By combining banking analytics with business analytics and understanding spending patterns and trends, financial apps can help businesses better cater to their customers i needs Transactions are performed in a secure manner with the OAuth 2 protocol. Self-register to get started. Testing for your your app is available in Hellenic Bank is sandbox environment. Real-time access on account activity via the Sandbox log. Hellenic Bank offers a platform of financial APIs. Companies or developers interested in using the APIs can register and test them in a sandbox environment. The APIs' openness and modularity allow customers to experiment and innovate. The standards allow them to connect their systems very quickly. Openness to 3rd party solutions (e.g. FinTechs) enables platforms for partnerships and integrated value chains. These APIs all you to: Partner with one of the leading and most innovative banks in Cyprus Unlock new business models with our APIs Secure, reliable and scalable APIs Open APIs available for non-customers of our bank Multi-currency money movements, authentication and account reporting all in one place Start creating using our realistic sandbox environment and quickly test your ideas",Banking
"The Losant REST API allows developers to access and integrate the functionality of Losant with other applications. Some example API methods include managing devices, managing actions, and managing users. Losant is an internet of things platform that helps users develop, build, and manage internet of things solutions.",Internet of Things
"The WXT Weather Service provides atmospheric weather information through a REST architecture, HTTP requests, and JSON formats. It integrates METAR/TAF information, sun, and moon calculations, targeting aviation and energy applications.",Weather
"The Smart Flow Sheet API allows veterinary services providers to track workflows and manage or automate operations in their clinics. It simplifies the integration of both in-patient and outpatient treatment tracking functionalities in clinical apps. The RESTful API returns JSON-formatted responses, and indicates API errors using HTTP response codes.",Medical
"It is an api of local events, you will find events from various places around the world from more than 20 categories, we work very hard to bring you clean and useful data that you could use to validate your business idea or even create your next big thing. Glatsee is personal travel planner available through Facebook chat. Developers can get data returned about events in the following categories: DINING_EVENT, THEATER_DANCE, COMEDY, SPORTS_EVENT, FESTIVAL_EVENT, PARTIES_NIGHTLIFE, NEIGHBORHOOD, MISIC_EVENTS, MUSIC ... Data returned includes Name, Details, Photos, location, interested count, attending count, declined count, category, ticket_url, status, time zone. What will you get? You will get 250 api calls per month for free.",Events
"The GeoSimulator API offers a testing platform for developers that want to integrate geolocation capabilities with their applications. Developers can test arbitrary geofences and random streets when consuming the GeoSimulator REST API. The preferred data exchange format is JSON. Nisos Technologies creates cloud based applications that help non-profit, marketing, advertising, financial and real estate technology providers.",Application Development
"The Hayo API allows developers to build apps that implement virtual remote controls for connected devices in a home. The API senses and transmits events between virtual remote controls and devices, making it easier for users to achieve desired actions on applications by simply manipulating a virtual remote control. The API sends requests and returns responses in JSON format.",Internet of Things
"The Split API is an application deployment platform that offers control over software rollouts with a switchboard for feature flags, targeted rollout plans and integrations. The API is used to build custom implementations, or to integrate it with a preexisting tool. JSON is the preferred data format. Split gives an easier way to deliver specific features to targeted customers.",Application Development
"The Kwik API allows developers to access and integrate the functionality of Kwik with other applications. Public documentation is not available; API access comes with account service. Kwik is an IoT platform that allows brands to connect directly with their customers, enabling repetitive direct-to-consumer purchases.",Internet of Things
"Analyzing the underlying intent associated with any textual data This classifier tells whether the underlying intention behind a sentence is opinion, news, marketing, complaint, suggestion, appreciation, and query. This is trained on our proprietary dataset.",Analytics
"The Cheap Weather API is a standard weather API that is available in free or pay versions, and is cheaper than other options. It is limited in scope as it is only for continental United States and does not provide a maps API. It does provide 3-day/ 3-hour forecasts and forecasts by zip code for all versions; but with the pay versions one can then add geolocation forecast and extended 7-day forecasts.",Weather
"The Eventgrid Customer API allows developers to create order flows for purchasing tickets and seats or to create registrations with sessions. Eventgrid is an event registration and ticketing platform that allows users to create custom, branded online event registration pages and manage their events, attendee access, and ticketing from one portal. Tools for receiving payments and promoting events are also provided.",Events
"Hologram is a provider of connectivity solutions for Internet of Things (IoT) devices. The company is infrastructure consists of the cloud services interface for device data and lifecycle management, the IoT SIM Card for facilitating global cellular network accessibility, and the Hologram Dash pre-certified board for implementing cellular connectivity of devices. The Hologram Dash API supports the integration of Hologram is cellular connectivity capabilities in IoT apps.",Internet of Things
"thethings.iO offers a socket.io server to be able to develop realtime browser apps. The Websocket server only subscribes, so to use authenticate and write, you have to use the REST API. thethings.iO is an enterprise platform and a Internet of Things solution.",Internet of Things
"The Cisco Data in Motion (DMo) API is a data management solution for networked connections such as Internet of Thing (IoT). Designed to be deployed as an inbuilt solution for Cisco-powered products, the RESTful API provides artificial intelligence mechanisms for acquiring and managing data for edge devices. Developers can use the DMo API to integrate real-time data filtering capabilities in edge devices such as sensors.",Internet of Things
"The Cisco IP Interoperability and Collaboration System (IPICS) APIallows developers to deploy programmatic tools and custom applications for managing and controllingoperations parameters for the Cisco IPICS platform. The RESTful API is equipped with functions that support control of various Cisco IPICS operations including VTG creation and user management, among others.",Internet of Things
The Cisco Connected Mobile Experiences (CMX) API combines the use of Wi-Fi and Cisco wireless infrastructure to support the detection and location of mobile devices. The RESTful API is useful for integrating direct mobile content delivery functionality in applications. This makes it easier for users to directly deliver personalized marketing content to smartphones of target audiences in specific locations. The Cisco CMX API transmits requests over the HTTP protocol and returns responses in JSON format.,Internet of Things
The Cisco Flare API simplifies the deployment of a mobile device as an interactive portal for accessing other devices and functional parameters within a particular environment. It is a RESTful API that supports the use of mobile devices to discover gadgets and support connectivity to the operational infrastructure existing in a given environment. The API functionally designed to simultaneously deploy a variety of location technologies alongside real-time communications capabilities to deliver top notch interactive experiences for users.,Internet of Things
